iter	Passed	Remaining
0	58	5754
1	58	2866
2	58	1901
3	59	1417
4	59	1133
5	60	943
6	60	806
7	61	702
8	61	620
9	61	556
10	62	502
11	62	458
12	63	421
13	63	389
14	63	361
15	64	336
16	64	314
17	64	294
18	65	278
19	65	262
20	65	247
21	66	234
22	66	223
23	67	212
24	67	202
25	68	193
26	68	184
27	68	176
28	68	168
29	69	161
30	69	155
31	69	148
32	70	142
33	70	136
34	70	131
35	71	126
36	71	121
37	71	116
38	71	112
39	72	108
40	72	104
41	72	100
42	72	96
43	73	93
44	73	89
45	73	86
46	73	83
47	74	80
48	74	77
49	74	74
50	74	72
51	75	69
52	75	66
53	75	64
54	76	62
55	76	59
56	76	57
57	76	55
58	77	53
59	77	51
60	77	49
61	77	47
62	78	45
63	78	44
64	78	42
65	78	40
66	79	39
67	79	37
68	79	35
69	79	34
70	80	32
71	80	31
72	80	29
73	80	28
74	81	27
75	81	25
76	81	24
77	81	23
78	82	21
79	82	20
80	82	19
81	82	18
82	83	17
83	83	15
84	83	14
85	83	13
86	84	12
87	84	11
88	84	10
89	84	9
90	85	8
91	85	7
92	85	6
93	85	5
94	86	4
95	86	3
96	86	2
97	86	1
98	87	0
99	87	0
